
stmpr stamper
stanch stanch
stn stand
stna~d standard
stna~diz standardize
stnoe standpoint
stnza stanza
stapl staple

# Page 172 Column 2
sta~ star
stach starch
stark stark
sta~d starred
sta~^t started
sta~tl startle
stavash starvation
stav starve
st state
sten stateliness
ste stately
st-m statement
strm stateroom
st-mn statesman
st-mnla statesmanlike
st-mnsh statesmanship
st^a statical
st^as statics
stsh station
stshre stationary
stshe~ stationer
statessh statistician
st^sts statistics
stature statuary
statu statue
statut statuette
statr stature

# Page 172 Column 3
statut statute
statutre statutory
stav stave
sta  stay
std stead
stdfas steadfast
stde| steadily
stden steadiness
stde steady
stel steal
stelth stealth
stm steam
stmbot steamboat
stmr steamer
stmsh steamship
step steep
stepl steeple
ste~ steer
sterj steerage
stm stem
stnsel stencil
stn^or stenographer
stn^ok stenographic
stn^oe stenography
step step
steropkn stereopticon
steroskp stereoscope

# Page 173 Column 1
sterotip stereotype
sterliz sterilize
sterl' sterling
stene sternly
sten-n sternness
ste~trus stertorous
stethskp stethoscope
stevdor stevedore
stu stew
steud steward
steudes stewardess
stek stick
steken stickiness
stef stiff
stefn stiffen
stifl stifle
stegma stigma
stegm^a stigmatic
stegmatiz stigmatize
stil stile
steleto stiletto
ste^n stillness
stelt stilt
stmlant stimulant
stm^u stimulate
stm^ush stimulation

# Page 173 Column 2
stm^ur stimulator
stmlus stimulus
steng sting
stnje stingy
stnt stint
stipnd stipend
step^u stipulate
step^ush stipulation
ste~ stir
? sterup stirrup
stech stitch
sto stock
stokad stockade
sto^r stockholder
sto' stocking
sto,k stoic
sto^k stoical
stossm stoicism
stokr stoker
stoled stolid
stmak stomach
ston stone
stonrk stonework
stone stony
stul stool
stup stoop
stp stop

# Page 173 Column 3
stpj stoppage
stpr stopper
storj storage
storus storehouse
stom storm
stomen storminess
stome stormy
store story
staut stout
stov stove
stoj stowage
stradl straddle
strag straggle
straglr straggler
stra straight
stratn straighten
strafd straightforward
stran strain
strand strand
stj strange
stjn strangeness
stje~ stranger
strang strangle
strang^u strangulate

# Page 174 Column 1
strap strap
stratjem stratagem
stratej strategic
stratjes strategist
? stradf stratify
stratm stratum
strobre strawberry
stra stray
strek streak
strem stream
streme~ streamer
stremlet streamlet
str street
str strength
strn strengthen
strnd strengthened
strenus strenuous
stses stress
strech stretch
streche~ stretcher
strkn stricken
strk strict
strkt-n strictness
stri stride
stridn strident
strif strife
stri strike

# Page 174 Column 2
streng string
strenjnt stringent
strep strip
strip stripe
stripd striped
strepl' stripling
striv strive
strok stroke
strol stroll
str strong
strl stronghold
strop strop
strktl structural
strkt structure
strg struggle
strng strung
strknen strychnine
stpb stubble
stbe~n stubborn
stbe~n-n stubbornness
stuko stucco
stuk stuck
stud stud
studn student
stde^t studied
stdeo studio
stdus studious

# Page 174 Column 3
stde study
stuf stuff
stufen stuffiness
stultef stultify
st-mb stumble
st-mp stump
st-n stun
st-nt stunt
? stpfaksh stupefaction
? stpf stupefy
? stpnd stupendous
? stupd stupid
? stupdte stupidity
stpr stupor
ste~den sturdiness
ste~de sturdy
stejn sturgeon
stute~ stutter
sti sty
sti~ style
